City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mount isa,40,AU,1524322800,44,-20.73,139.49,78.8,6.93
1,dharmadam,80,IN,1524325621,73,11.78,75.43,82.57,2.71
2,guerrero negro,92,MX,1524325917,55,27.97,-114.04,60.61,3.31
3,hilo,90,US,1524322560,83,19.71,-155.08,69.8,3.36
4,mahebourg,40,MU,1524322800,74,-20.41,57.7,80.6,8.05
5,chokurdakh,76,RU,1524325917,78,70.62,147.9,12.91,3.09
6,qaanaaq,68,GL,1524325917,100,77.48,-69.36,9.4,5.32
7,esperance,20,TT,1524322800,70,10.24,-61.45,84.2,16.11
8,nelson bay,40,AU,1524324600,93,-32.72,152.14,59.0,5.82
9,ushuaia,75,AR,1524322800,75,-54.81,-68.31,42.8,13.87
10,rikitea,64,PF,1524325918,100,-23.12,-134.97,76.54,9.53
11,tungor,76,RU,1524325918,89,53.39,142.95,23.26,3.27
12,vardo,1,US,1524323700,45,39.62,-77.74,51.8,3.53
13,haimen,12,CN,1524325918,79,31.87,121.18,67.54,13.94
14,sault sainte marie,1,CA,1524322800,34,46.49,-84.36,48.2,4.7
15,kavaratti,24,IN,1524325919,100,10.57,72.64,87.07,4.99
16,victoria,75,BN,1524324600,100,5.28,115.24,77.0,2.24
17,honningsvag,0,NO,1524325919,96,70.98,25.97,32.26,12.15
18,pangkalanbuun,12,ID,1524325919,94,-2.68,111.62,74.56,2.3
19,cabra,0,ES,1524324600,56,37.47,-4.43,77.0,5.82
20,iranshahr,0,IR,1524322800,9,27.21,60.69,89.6,4.7
21,hithadhoo,64,MV,1524325919,100,-0.6,73.08,84.46,16.28
22,porto novo,20,BR,1524322800,50,-23.68,-45.44,75.2,3.36
23,cabo san lucas,40,MX,1524322080,73,22.89,-109.91,71.6,5.5
24,taksimo,0,RU,1524325920,69,56.36,114.84,20.56,2.3
25,bethel,90,US,1524322380,92,60.79,-161.76,30.2,3.36
26,bubaque,0,GW,1524322800,26,11.28,-15.83,95.0,9.17
27,sibu,75,MY,1524322800,94,2.29,111.83,77.0,1.12
28,atuona,0,PF,1524325921,100,-9.8,-139.03,80.95,17.18
29,angoram,92,PG,1524325921,100,-4.06,144.07,75.73,2.3
30,isangel,88,VU,1524325921,100,-19.55,169.27,78.16,16.35
31,faanui,36,PF,1524325921,100,-16.48,-151.75,81.76,5.21
